sourceID,targetID,source,relationship
D:1,OMIM:601362,merged_by_name,disease_exact
D:1,ORPHA:687695,merged_by_name,disease_exact
D:2,ORPHA:276422,merged_by_name,disease_exact
D:3,ORPHA:300305,merged_by_name,disease_exact
D:4,ORPHA:444002,merged_by_name,disease_exact
D:5,ORPHA:313884,merged_by_name,disease_exact
D:6,DECIPHER:76,merged_by_name,disease_exact
D:6,ORPHA:94063,merged_by_name,disease_exact
D:7,ORPHA:289513,merged_by_name,disease_exact
D:8,ORPHA:412035,merged_by_name,disease_exact
D:9,ORPHA:261229,merged_by_name,disease_exact
D:10,ORPHA:401935,merged_by_name,disease_exact
D:11,DECIPHER:81,merged_by_name,disease_exact
D:11,ORPHA:314585,merged_by_name,disease_exact
D:12,DECIPHER:68,merged_by_name,disease_exact
D:12,OMIM:613604,merged_by_name,disease_exact
D:12,ORPHA:261211,merged_by_name,disease_exact
D:13,ORPHA:261204,merged_by_name,disease_exact
D:14,ORPHA:485405,merged_by_name,disease_exact
D:15,ORPHA:261236,merged_by_name,disease_exact
D:16,ORPHA:261243,merged_by_name,disease_exact
D:17,ORPHA:352629,merged_by_name,disease_exact
D:18,ORPHA:261250,merged_by_name,disease_exact
D:19,OMIM:613533,merged_by_name,disease_exact
D:19,ORPHA:217340,merged_by_name,disease_exact
D:20,DECIPHER:57,merged_by_name,disease_exact
D:20,ORPHA:363958,merged_by_name,disease_exact
D:21,ORPHA:529962,merged_by_name,disease_exact
D:22,ORPHA:254346,merged_by_name,disease_exact
D:23,ORPHA:447980,merged_by_name,disease_exact
D:24,ORPHA:217346,merged_by_name,disease_exact
D:25,ORPHA:293948,merged_by_name,disease_exact
D:26,ORPHA:401986,merged_by_name,disease_exact
D:27,ORPHA:456298,merged_by_name,disease_exact
D:28,ORPHA:656279,merged_by_name,disease_exact
D:29,DECIPHER:62,merged_by_name,disease_exact
D:29,OMIM:612474,merged_by_name,disease_exact
D:29,ORPHA:250989,merged_by_name,disease_exact
D:30,DECIPHER:67,merged_by_name,disease_exact
D:30,OMIM:612475,merged_by_name,disease_exact
D:30,ORPHA:250994,merged_by_name,disease_exact
D:31,ORPHA:238769,merged_by_name,disease_exact
D:32,OMIM:616034,merged_by_name,disease_exact
D:32,ORPHA:431361,merged_by_name,disease_exact
