,OrphaNumber,Disorder_Name,Category
0,5,Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency,rare cardiac diseases|rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders|rare endocrine diseases|rare transplant-related disorders
1,6,3-methylcrotonyl-CoA carboxylase deficiency,rare inborn errors of metabolism|rare genetic diseases
2,7,3C syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
3,8,"47,XYY syndrome",rare developmental anomalies during embryogenesis|rare genetic diseases
4,9,Tetrasomy X syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare endocrine diseases|rare infertility disorders|rare gynecological and obstetric diseases
5,10,"48,XXYY syndrome",rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare urogenital diseases|rare endocrine diseases
6,11,Pentasomy X syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
7,13,6-pyruvoyl-tetrahydropterin synthase deficiency,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
8,14,Abetalipoproteinemia,rare inborn errors of metabolism|rare gastroenterological diseases|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders|rare endocrine diseases|rare hematological diseases
9,15,Achondroplasia,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
10,16,Blue cone monochromatism,rare genetic diseases|rare ophthalmic disorders
11,17,Fatal infantile lactic acidosis with methylmalonic aciduria,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
12,18,Distal renal tubular acidosis,rare genetic diseases|rare renal diseases|rare transplant-related disorders
13,19,2-hydroxyglutaric aciduria,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
14,20,3-hydroxy-3-methylglutaric aciduria,rare inborn errors of metabolism|rare genetic diseases
15,22,Succinic semialdehyde dehydrogenase deficiency,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
16,23,Argininosuccinic aciduria,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
17,24,Fumaric aciduria,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
18,25,Glutaryl-CoA dehydrogenase deficiency,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
19,26,Methylmalonic acidemia with homocystinuria,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare hematological diseases
20,27,Vitamin B12-unresponsive methylmalonic acidemia,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare renal diseases|rare transplant-related disorders
21,28,Vitamin B12-responsive methylmalonic acidemia,rare inborn errors of metabolism|rare genetic diseases|rare renal diseases|rare transplant-related disorders
22,29,Mevalonic aciduria,rare developmental anomalies during embryogenesis|rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare skin diseases|rare ophthalmic disorders|rare systemic and rheumatological diseases|rare systemic or rheumatologic diseases of childhood
23,30,Hereditary orotic aciduria,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare hematological diseases
24,31,Oxoglutaric aciduria,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
25,32,Glutathione synthetase deficiency,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare hematological diseases
26,33,Isovaleric acidemia,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
27,35,Propionic acidemia,rare inborn errors of metabolism|rare genetic diseases
28,36,Acrocallosal syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare bone diseases
29,37,Acrodermatitis enteropathica,rare developmental anomalies during embryogenesis|rare inborn errors of metabolism|rare gastroenterological diseases|rare genetic diseases|rare skin diseases
30,38,Acrokeratoelastoidosis of Costa,rare genetic diseases|rare skin diseases
31,39,Acromelanosis,rare skin diseases
32,40,"Acromesomelic dysplasia, Maroteaux type",rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
33,41,Dyschromatosis symmetrica hereditaria,rare genetic diseases|rare skin diseases
34,42,Medium chain acyl-CoA dehydrogenase deficiency,rare inborn errors of metabolism|rare genetic diseases
35,43,X-linked adrenoleukodystrophy,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare endocrine diseases|rare infertility disorders|rare transplant-related disorders
36,44,Neonatal adrenoleukodystrophy,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare hepatic diseases|rare ophthalmic disorders|rare endocrine diseases
37,45,Adenosine monophosphate deaminase deficiency,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
38,46,Adenylosuccinate lyase deficiency,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
39,47,X-linked agammaglobulinemia,rare genetic diseases|rare immunological diseases
40,48,Congenital bilateral absence of vas deferens,rare developmental anomalies during embryogenesis|rare genetic diseases|rare urogenital diseases|rare infertility disorders|rare transplant-related disorders
41,49,Penile agenesis,rare developmental anomalies during embryogenesis|rare urogenital diseases|rare endocrine diseases|rare transplant-related disorders
42,50,Aicardi syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders|rare neoplastic diseases
43,51,Aicardi-Goutières syndrome,rare genetic diseases|rare neurological diseases|rare systemic and rheumatological diseases|rare systemic or rheumatologic diseases of childhood
44,52,Alagille syndrome,rare developmental anomalies during embryogenesis|rare cardiac malformations|rare genetic diseases|rare abdominal surgical diseases|rare hepatic diseases|rare renal diseases|rare ophthalmic disorders|rare neoplastic diseases|rare transplant-related disorders
45,53,Albers-Schönberg osteopetrosis,rare developmental anomalies during embryogenesis|rare genetic diseases|rare ophthalmic disorders|rare bone diseases|rare transplant-related disorders
46,54,X-linked recessive ocular albinism,rare inborn errors of metabolism|rare genetic diseases|rare ophthalmic disorders
47,55,Oculocutaneous albinism,rare inborn errors of metabolism|rare genetic diseases|rare skin diseases|rare ophthalmic disorders
48,56,Alkaptonuria,rare inborn errors of metabolism|rare genetic diseases|rare skin diseases|rare ophthalmic disorders
49,57,Glycogen storage disease due to aldolase A deficiency,rare inborn errors of metabolism|rare genetic diseases|rare hematological diseases
50,58,Alexander disease,rare genetic diseases|rare neurological diseases
51,59,Allan-Herndon-Dudley syndrome,rare genetic diseases|rare neurological diseases|rare endocrine diseases
