ncbi_gene_id,gene_symbol,disease_id,relationship
2516,NR5A1,D:100,associated_with
6662,SOX9,D:100,associated_with
6736,SRY,D:100,associated_with
383,ARG1,D:1000,associated_with
383,ARG1,D:1000,associated_with
4703,NEB,D:10000,associated_with
58,ACTA1,D:10001,associated_with
58,ACTA1,D:10001,associated_with
7169,TPM2,D:10002,associated_with
7138,TNNT1,D:10003,associated_with
7138,TNNT1,D:10003,associated_with
7138,TNNT1,D:10004,associated_with
7138,TNNT1,D:10005,associated_with
390594,KBTBD13,D:10006,associated_with
1073,CFL2,D:10007,associated_with
131377,KLHL40,D:10008,associated_with
10324,KLHL41,D:10009,associated_with
435,ASL,D:1001,associated_with
435,ASL,D:1001,associated_with
5189,PEX1,D:10011,associated_with
5192,PEX10,D:10011,associated_with
8799,PEX11B,D:10011,associated_with
5193,PEX12,D:10011,associated_with
5194,PEX13,D:10011,associated_with
5195,PEX14,D:10011,associated_with
9409,PEX16,D:10011,associated_with
5824,PEX19,D:10011,associated_with
5828,PEX2,D:10011,associated_with
55670,PEX26,D:10011,associated_with
8504,PEX3,D:10011,associated_with
5830,PEX5,D:10011,associated_with
5190,PEX6,D:10011,associated_with
2215,FCGR3B,D:10012,associated_with
275,AMT,D:10018,associated_with
2653,GCSH,D:10018,associated_with
2731,GLDC,D:10018,associated_with
6868,ADAM17,D:10021,associated_with
1956,EGFR,D:10021,associated_with
2200,FBN1,D:10024,associated_with
57545,CC2D2A,D:1003,associated_with
80184,CEP290,D:1003,associated_with
51524,TMEM138,D:1003,associated_with
51259,TMEM216,D:1003,associated_with
79583,TMEM231,D:1003,associated_with
65062,TMEM237,D:1003,associated_with
23090,ZNF423,D:1003,associated_with
675,BRCA2,D:10031,associated_with
129563,DIS3L2,D:10031,associated_with
2719,GPC3,D:10031,associated_with
283120,H19,D:10031,associated_with
11281,POU6F2,D:10031,associated_with
5978,REST,D:10031,associated_with
10155,TRIM28,D:10031,associated_with
9319,TRIP13,D:10031,associated_with
7490,WT1,D:10031,associated_with
554,AVPR2,D:10033,associated_with
554,AVPR2,D:10033,associated_with
10861,SLC26A1,D:10035,associated_with
27199,OXGR1,D:10036,associated_with
1184,CLCN5,D:10037,associated_with
6569,SLC34A1,D:10038,associated_with
9368,NHERF1,D:10039,associated_with
56999,ADAMTS9,D:10041,associated_with
203286,ANKS6,D:10041,associated_with
84662,GLIS2,D:10041,associated_with
23005,MAPKBP1,D:10041,associated_with
4867,NPHP1,D:10041,associated_with
4867,NPHP1,D:10041,associated_with
261734,NPHP4,D:10041,associated_with
57728,WDR19,D:10041,associated_with
91147,TMEM67,D:10042,associated_with
79809,TTC21B,D:10043,associated_with
57728,WDR19,D:10044,associated_with
23090,ZNF423,D:10045,associated_with
22897,CEP164,D:10046,associated_with
203286,ANKS6,D:10047,associated_with
51134,CEP83,D:10048,associated_with
51473,DCDC2,D:10049,associated_with
1588,CYP19A1,D:1005,associated_with
1588,CYP19A1,D:1005,associated_with
203286,ANKS6,D:10050,associated_with
51134,CEP83,D:10050,associated_with
27130,INVS,D:10050,associated_with
27130,INVS,D:10050,associated_with
284086,NEK8,D:10050,associated_with
27031,NPHP3,D:10050,associated_with
79809,TTC21B,D:10050,associated_with
23090,ZNF423,D:10050,associated_with
23005,MAPKBP1,D:10051,associated_with
27031,NPHP3,D:10052,associated_with
261734,NPHP4,D:10053,associated_with
84662,GLIS2,D:10054,associated_with
284086,NEK8,D:10055,associated_with
63929,XPNPEP3,D:10056,associated_with
254428,SLC41A1,D:10057,associated_with
3078,CFHR1,D:10058,associated_with
3080,CFHR2,D:10058,associated_with
10878,CFHR3,D:10058,associated_with
81494,CFHR5,D:10058,associated_with
81494,CFHR5,D:10058,associated_with
1588,CYP19A1,D:1006,associated_with
977,CD151,D:10060,associated_with
977,CD151,D:10060,associated_with
4758,NEU1,D:10063,associated_with
4868,NPHS1,D:10066,associated_with
4868,NPHS1,D:10066,associated_with
57122,NUP107,D:10067,associated_with
9688,NUP93,D:10068,associated_with
23165,NUP205,D:10069,associated_with
1644,DDC,D:1007,associated_with
1644,DDC,D:1007,associated_with
8879,SGPL1,D:10070,associated_with
8879,SGPL1,D:10070,associated_with
9863,MAGI2,D:10071,associated_with
25959,KANK2,D:10072,associated_with
79902,NUP85,D:10073,associated_with
55746,NUP133,D:10074,associated_with
23279,NUP160,D:10075,associated_with
7827,NPHS2,D:10076,associated_with
54885,TBC1D8B,D:10077,associated_with
10677,AVIL,D:10078,associated_with
9722,NOS1AP,D:10079,associated_with
10848,PPP1R13L,D:1008,associated_with
55243,KIRREL1,D:10080,associated_with
23500,DAAM2,D:10081,associated_with
3911,LAMA5,D:10082,associated_with
51196,PLCE1,D:10083,associated_with
7490,WT1,D:10084,associated_with
3913,LAMB2,D:10085,associated_with
5800,PTPRO,D:10086,associated_with
3075,CFH,D:10087,associated_with
8526,DGKE,D:10087,associated_with
8526,DGKE,D:10087,associated_with
396,ARHGDIA,D:10088,associated_with
79934,COQ8B,D:10089,associated_with
3728,JUP,D:1009,associated_with
547,KIF1A,D:10090,associated_with
547,KIF1A,D:10090,associated_with
8815,BANF1,D:10091,associated_with
8815,BANF1,D:10091,associated_with
11005,SPINK5,D:10092,associated_with
11005,SPINK5,D:10092,associated_with
26227,PHGDH,D:10094,associated_with
26227,PHGDH,D:10094,associated_with
29968,PSAT1,D:10095,associated_with
29968,PSAT1,D:10095,associated_with
5723,PSPH,D:10096,associated_with
6662,SOX9,D:101,associated_with
7043,TGFB3,D:1010,associated_with
4522,MTHFD1,D:10102,associated_with
4524,MTHFR,D:10102,associated_with
4548,MTR,D:10102,associated_with
4552,MTRR,D:10102,associated_with
6347,CCL2,D:10103,associated_with
80199,FUZ,D:10103,associated_with
6862,TBXT,D:10103,associated_with
81839,VANGL1,D:10103,associated_with
57216,VANGL2,D:10103,associated_with
10801,SEPTIN9,D:10105,associated_with
238,ALK,D:10109,associated_with
57531,HACE1,D:10109,associated_with
389421,LIN28B,D:10109,associated_with
4004,LMO1,D:10109,associated_with
4613,MYCN,D:10109,associated_with
8929,PHOX2B,D:10109,associated_with
1829,DSG2,D:1011,associated_with
23095,KIF1B,D:10110,associated_with
8929,PHOX2B,D:10111,associated_with
238,ALK,D:10112,associated_with
8550,MAPKAPK5,D:10117,associated_with
4893,NRAS,D:10118,associated_with
1824,DSC2,D:1012,associated_with
1317,SLC31A1,D:10120,associated_with
2348,FOLR1,D:10121,associated_with
2348,FOLR1,D:10121,associated_with
6389,SDHA,D:10122,associated_with
8878,SQSTM1,D:10123,associated_with
80025,PANK2,D:10125,associated_with
8398,PLA2G6,D:10126,associated_with
8398,PLA2G6,D:10126,associated_with
8398,PLA2G6,D:10127,associated_with
2512,FTL,D:10128,associated_with
2512,FTL,D:10128,associated_with
83636,C19orf12,D:10129,associated_with
29119,CTNNA3,D:1013,associated_with
11152,WDR45,D:10130,associated_with
11152,WDR45,D:10130,associated_with
80347,COASY,D:10131,associated_with
80347,COASY,D:10131,associated_with
85021,REPS1,D:10132,associated_with
1384,CRAT,D:10133,associated_with
2495,FTH1,D:10134,associated_with
400569,MED11,D:10135,associated_with
1185,CLCN6,D:10136,associated_with
1185,CLCN6,D:10136,associated_with
54936,ADPRS,D:10137,associated_with
23446,SLC44A1,D:10138,associated_with
7343,UBTF,D:10139,associated_with
7343,UBTF,D:10139,associated_with
1000,CDH2,D:1014,associated_with
4076,CAPRIN1,D:10140,associated_with
23287,AGTPBP1,D:10141,associated_with
3954,LETM1,D:10142,associated_with
1841,DTYMK,D:10143,associated_with
3658,IREB2,D:10144,associated_with
8884,SLC5A6,D:10145,associated_with
10479,SLC9A6,D:10148,associated_with
11193,WBP4,D:10149,associated_with
5515,PPP2CA,D:10150,associated_with
25930,PTPN23,D:10151,associated_with
11267,SNF8,D:10152,associated_with
8936,WASF1,D:10153,associated_with
9690,UBE3C,D:10154,associated_with
4953,ODC1,D:10155,associated_with
4953,ODC1,D:10155,associated_with
374969,SVBP,D:10156,associated_with
9230,RAB11B,D:10157,associated_with
84628,NTNG2,D:10158,associated_with
113179,ADAT3,D:10159,associated_with
113179,ADAT3,D:10159,associated_with
57647,DHX37,D:10160,associated_with
128869,PIGU,D:10161,associated_with
6472,SHMT2,D:10162,associated_with
26173,INTS1,D:10163,associated_with
23114,NFASC,D:10164,associated_with
9759,HDAC4,D:10165,associated_with
25929,GEMIN5,D:10166,associated_with
221927,BRAT1,D:10167,associated_with
55656,INTS8,D:10168,associated_with
91875,TTC5,D:10169,associated_with
79188,TMEM43,D:1017,associated_with
23135,KDM6B,D:10170,associated_with
3187,HNRNPH1,D:10171,associated_with
3187,HNRNPH1,D:10171,associated_with
55770,EXOC2,D:10172,associated_with
2186,BPTF,D:10173,associated_with
2186,BPTF,D:10173,associated_with
57178,ZMIZ1,D:10174,associated_with
8883,NAE1,D:10175,associated_with
10236,HNRNPR,D:10176,associated_with
11198,SUPT16H,D:10177,associated_with
284361,EMC10,D:10178,associated_with
8567,MADD,D:10179,associated_with
10524,KAT5,D:10180,associated_with
80055,PGAP1,D:10181,associated_with
55164,SHQ1,D:10182,associated_with
391356,PTRHD1,D:10183,associated_with
535,ATP6V0A1,D:10184,associated_with
5277,PIGA,D:10185,associated_with
5277,PIGA,D:10185,associated_with
80856,LNPK,D:10186,associated_with
112939,NACC1,D:10187,associated_with
112939,NACC1,D:10187,associated_with
51399,TRAPPC4,D:10188,associated_with
84978,FRMD5,D:10189,associated_with
1832,DSP,D:1019,associated_with
10430,TMEM147,D:10190,associated_with
6873,TAF2,D:10191,associated_with
6873,TAF2,D:10191,associated_with
9338,TCEAL1,D:10192,associated_with
118924,FRA10AC1,D:10193,associated_with
79029,AFG2B,D:10194,associated_with
111,ADCY5,D:10195,associated_with
55361,PI4K2A,D:10196,associated_with
6844,VAMP2,D:10197,associated_with
1182,CLCN3,D:10198,associated_with
10026,PIGK,D:10199,associated_with
5318,PKP2,D:1020,associated_with
57282,SLC4A10,D:10200,associated_with
2783,GNB2,D:10201,associated_with
9354,UBE4A,D:10202,associated_with
161725,OTUD7A,D:10203,associated_with
1974,EIF4A2,D:10204,associated_with
5430,POLR2A,D:10205,associated_with
80036,TRPM3,D:10206,associated_with
283209,PGM2L1,D:10207,associated_with
129285,PPP1R21,D:10208,associated_with
2770,GNAI1,D:10209,associated_with
5167,ENPP1,D:1021,associated_with
775,CACNA1C,D:10210,associated_with
104,ADARB1,D:10211,associated_with
253959,RALGAPA1,D:10212,associated_with
57731,SPTBN4,D:10213,associated_with
57520,HECW2,D:10214,associated_with
4208,MEF2C,D:10215,associated_with
1795,DOCK3,D:10216,associated_with
2898,GRIK2,D:10217,associated_with
9898,UBAP2L,D:10218,associated_with
7701,ZNF142,D:10219,associated_with
368,ABCC6,D:1022,associated_with
23154,NCDN,D:10220,associated_with
56006,SMG9,D:10221,associated_with
90952,ESAM,D:10222,associated_with
2775,GNAO1,D:10223,associated_with
26523,AGO1,D:10224,associated_with
7074,TIAM1,D:10225,associated_with
2550,GABBR1,D:10226,associated_with
2891,GRIA2,D:10227,associated_with
4076,CAPRIN1,D:10228,associated_with
83480,PUS3,D:10229,associated_with
83480,PUS3,D:10229,associated_with
9675,TTI1,D:10230,associated_with
84706,GPT2,D:10231,associated_with
84706,GPT2,D:10231,associated_with
7453,WARS1,D:10232,associated_with
1781,DYNC1I2,D:10233,associated_with
55627,SMPD4,D:10234,associated_with
6301,SARS1,D:10235,associated_with
50628,GEMIN4,D:10236,associated_with
83475,DOHH,D:10237,associated_with
51075,TMX2,D:10238,associated_with
122553,TRAPPC6B,D:10239,associated_with
10588,MTHFS,D:10240,associated_with
10588,MTHFS,D:10240,associated_with
5689,PSMB1,D:10241,associated_with
58497,PRUNE1,D:10242,associated_with
58497,PRUNE1,D:10242,associated_with
51692,CPSF3,D:10243,associated_with
4677,NARS1,D:10244,associated_with
4677,NARS1,D:10245,associated_with
1119,CHKA,D:10246,associated_with
149371,EXOC8,D:10247,associated_with
7407,VARS1,D:10248,associated_with
55610,VPS50,D:10249,associated_with
7109,TRAPPC10,D:10250,associated_with
9181,ARHGEF2,D:10251,associated_with
9698,PUM1,D:10252,associated_with
9698,PUM1,D:10252,associated_with
54973,INTS11,D:10253,associated_with
84065,TMEM222,D:10254,associated_with
6621,SNAPC4,D:10255,associated_with
57688,ZSWIM6,D:10256,associated_with
4897,NRCAM,D:10257,associated_with
28514,DLL1,D:10258,associated_with
473,RERE,D:10259,associated_with
473,RERE,D:10259,associated_with
8452,CUL3,D:10260,associated_with
4858,NOVA2,D:10261,associated_with
26960,NBEA,D:10262,associated_with
2902,GRIN1,D:10263,associated_with
2902,GRIN1,D:10264,associated_with
2893,GRIA4,D:10265,associated_with
23162,MAPK8IP3,D:10266,associated_with
3781,KCNN2,D:10267,associated_with
10079,ATP9A,D:10268,associated_with
56098,PCDHGC4,D:10269,associated_with
81031,SLC2A10,D:1027,associated_with
81031,SLC2A10,D:1027,associated_with
79759,ZNF668,D:10270,associated_with
5700,PSMC1,D:10271,associated_with
9568,GABBR2,D:10272,associated_with
84879,MFSD2A,D:10273,associated_with
9373,PLAA,D:10274,associated_with
9373,PLAA,D:10274,associated_with
84320,ACBD6,D:10275,associated_with
84842,HPDL,D:10276,associated_with
84842,HPDL,D:10276,associated_with
64207,IRF2BPL,D:10277,associated_with
64207,IRF2BPL,D:10277,associated_with
1182,CLCN3,D:10278,associated_with
23265,EXOC7,D:10279,associated_with
23102,TBC1D2B,D:10280,associated_with
774,CACNA1B,D:10281,associated_with
1725,DHPS,D:10282,associated_with
2917,GRM7,D:10283,associated_with
8496,PPFIBP1,D:10284,associated_with
283450,HECTD4,D:10285,associated_with
22907,DHX30,D:10286,associated_with
22907,DHX30,D:10286,associated_with
129685,TAF8,D:10287,associated_with
51611,DPH5,D:10288,associated_with
1499,CTNNB1,D:10289,associated_with
1499,CTNNB1,D:10289,associated_with
56270,WDR45B,D:10290,associated_with
22872,SEC31A,D:10291,associated_with
51506,UFC1,D:10292,associated_with
9442,MED27,D:10293,associated_with
84081,NSRP1,D:10294,associated_with
55623,THUMPD1,D:10295,associated_with
9739,SETD1A,D:10296,associated_with
8911,CACNA1I,D:10297,associated_with
5881,RAC3,D:10298,associated_with
3098,HK1,D:10299,associated_with
2516,NR5A1,D:103,associated_with
3569,IL6,D:1030,associated_with
3845,KRAS,D:1030,associated_with
10352,WARS2,D:10300,associated_with
10352,WARS2,D:10300,associated_with
7143,TNR,D:10301,associated_with
10735,STAG2,D:10302,associated_with
10236,HNRNPR,D:10303,associated_with
3190,HNRNPK,D:10304,associated_with
57282,SLC4A10,D:10305,associated_with
23291,FBXW11,D:10306,associated_with
7750,ZMYM2,D:10307,associated_with
1277,COL1A1,D:1031,associated_with
1278,COL1A2,D:1031,associated_with
546,ATRX,D:10317,associated_with
9653,HS2ST1,D:10323,associated_with
4763,NF1,D:10325,associated_with
4763,NF1,D:10326,associated_with
4771,NF2,D:10327,associated_with
4771,NF2,D:10327,associated_with
5605,MAP2K2,D:10330,associated_with
4763,NF1,D:10330,associated_with
4763,NF1,D:10330,associated_with
51651,PTRH2,D:10334,associated_with
51651,PTRH2,D:10334,associated_with
23345,SYNE1,D:1035,associated_with
8449,DHX16,D:10351,associated_with
27145,FILIP1,D:10353,associated_with
3094,HINT1,D:10359,associated_with
3094,HINT1,D:10359,associated_with
1861,TOR1A,D:1036,associated_with
2316,FLNA,D:10362,associated_with
100996717,NOTCH2NLC,D:10363,associated_with
100996717,NOTCH2NLC,D:10363,associated_with
6709,SPTAN1,D:10365,associated_with
9531,BAG3,D:10366,associated_with
7443,VRK1,D:10367,associated_with
6253,RTN2,D:10368,associated_with
10229,COQ7,D:10369,associated_with
4703,NEB,D:1037,associated_with
26353,HSPB8,D:10371,associated_with
3315,HSPB1,D:10372,associated_with
8988,HSPB3,D:10373,associated_with
81545,FBXO38,D:10374,associated_with
7453,WARS1,D:10375,associated_with
2617,GARS1,D:10376,associated_with
65055,REEP1,D:10377,associated_with
60482,SLC5A7,D:10378,associated_with
1639,DCTN1,D:10379,associated_with
57187,THOC2,D:1038,associated_with
59341,TRPV4,D:10380,associated_with
59341,TRPV4,D:10380,associated_with
11117,EMILIN1,D:10381,associated_with
57479,PRR12,D:10382,associated_with
57479,PRR12,D:10382,associated_with
22884,WDR37,D:10383,associated_with
22884,WDR37,D:10383,associated_with
6091,ROBO1,D:10384,associated_with
2707,GJB3,D:10385,associated_with
4508,MT-ATP6,D:10386,associated_with
4508,MT-ATP6,D:10386,associated_with
1959,EGR2,D:10387,associated_with
1959,EGR2,D:10387,associated_with
4359,MPZ,D:10388,associated_with
8506,CNTNAP1,D:10389,associated_with
26580,BSCL2,D:10391,associated_with
10342,TFG,D:10392,associated_with
10342,TFG,D:10392,associated_with
3098,HK1,D:10393,associated_with
3098,HK1,D:10393,associated_with
91137,SLC25A46,D:10394,associated_with
