ID,standard_name,link
DECIPHER:1,Wolf-Hirschhorn syndrome,
DECIPHER:14,Prader-Willi syndrome (Type 1),
DECIPHER:15,Nf1-Microdeletion syndrome,
DECIPHER:16,22q11 deletion syndrome (Velocardiofacial / DiGeorge syndrome),
DECIPHER:17,Sotos syndrome,
DECIPHER:18,1p36 microdeletion syndrome,
DECIPHER:19,Potocki-Lupski syndrome (17p11.2 duplication syndrome),
DECIPHER:2,Cri du Chat Syndrome (5p deletion),
DECIPHER:20,22q13 deletion syndrome (Phelan-Mcdermid syndrome),
DECIPHER:21,Miller-Dieker syndrome (MDS),
DECIPHER:29,Charcot-Marie-Tooth syndrome type 1A (CMT1A),
DECIPHER:3,Williams-Beuren Syndrome (WBS),
DECIPHER:31,Hereditary Liability to Pressure Palsies (HNPP),
DECIPHER:32,22q11 duplication syndrome,
DECIPHER:34,Potocki-Shaffer syndrome,
DECIPHER:35,WAGR 11p13 deletion syndrome,
DECIPHER:37,3q29 microdeletion syndrome,
DECIPHER:38,Pelizaeus-Merzbacher disease,
DECIPHER:39,8p23.1 deletion syndrome,
DECIPHER:4,Angelman syndrome (Type 1),
DECIPHER:42,Cat-Eye Syndrome (Type I),
DECIPHER:43,7q11.23 duplication syndrome,
DECIPHER:44,2q37 monosomy,
DECIPHER:45,Xq28 (MECP2) duplication,
DECIPHER:46,Split hand/foot malformation 1 (SHFM1),
DECIPHER:47,RCAD (renal cysts and diabetes),
DECIPHER:48,Early-onset Alzheimer disease with cerebral amyloid angiopathy,
DECIPHER:51,2q33.1 deletion syndrome,
DECIPHER:52,9q subtelomeric deletion syndrome,
DECIPHER:53,Prader-Willi Syndrome (Type 2),
DECIPHER:54,Angelman syndrome (Type 2),
DECIPHER:57,17q21.31 recurrent microdeletion syndrome,
DECIPHER:58,Leri-Weill dyschondrostosis (LWD) - SHOX deletion,
DECIPHER:59,Adult-onset autosomal dominant leukodystrophy (ADLD),
DECIPHER:62,1q21.1 recurrent microdeletion (susceptibility locus for neurodevelopmental disorders),
DECIPHER:65,Atr-16 syndrome,
DECIPHER:66,15q24 recurrent microdeletion syndrome,
DECIPHER:67,1q21.1 recurrent microduplication (possible susceptibility locus for neurodevelopmental disorders),
DECIPHER:68,16p11.2-p12.2 microdeletion syndrome,
DECIPHER:70,2p15-16.1 microdeletion syndrome,
DECIPHER:72,22q11.2 distal deletion syndrome,
DECIPHER:74,15q13.3 microdeletion syndrome,
DECIPHER:76,12q14 microdeletion syndrome,
DECIPHER:8,Smith-Magenis syndrome,
DECIPHER:81,15q26 overgrowth syndrome,
DECIPHER:85,8p23.1 duplication syndrome,
DECIPHER:92,Recurrent 16p12.1 microdeletion (neurodevelopmental susceptibility locus),
OMIM:100050,autosomal dominant Aarskog syndrome,https://www.omim.org/entry/100050
OMIM:100070,"Aortic aneurysm, abdominal",https://www.omim.org/entry/100070
OMIM:100100,Prune belly syndrome,https://www.omim.org/entry/100100
OMIM:100200,Abducens palsy,https://www.omim.org/entry/100200
OMIM:100300,Adams-Oliver syndrome 1,https://www.omim.org/entry/100300
OMIM:100600,Acanthosis nigricans,https://www.omim.org/entry/100600
OMIM:100700,Achard syndrome,https://www.omim.org/entry/100700
OMIM:100800,Achondroplasia,https://www.omim.org/entry/100800
OMIM:100820,Achoo syndrome,https://www.omim.org/entry/100820
OMIM:101000,"Neurofibromatosis, type II",https://www.omim.org/entry/101000
OMIM:101120,Sakati-Nyhan syndrome,https://www.omim.org/entry/101120
OMIM:101200,Apert syndrome,https://www.omim.org/entry/101200
OMIM:101400,Saethre-Chotzen syndrome,https://www.omim.org/entry/101400
